"id";"timestamp";"status"
73095;1656930565;Сбор информации
73089;1656930572;Проверка товара на складе
73093;1656930613;Ожидание
49937;1656930616;Сделка успешна
73101;1656930759;Сбор информации
73095;1656930771;Ожидание
73103;1656930827;Сбор информации
73103;1656930860;Ожидание
73105;1656930894;Сбор информации
73101;1656930909;Проверка информации
73101;1656930909;Проверка информации
73107;1656930955;Сбор информации
73101;1656930980;Заведение заказа в 1С
73109;1656930991;Сбор информации
73101;1656931036;Проверка товара на складе
73105;1656931039;Заведение заказа в 1С
73109;1656931059;Подумает и перезвонит
73107;1656931219;Проверка информации
73107;1656931219;Проверка информации
73107;1656931317;Заведение заказа в 1С
73105;1656931333;Проверка товара на складе
73107;1656931368;Проверка товара на складе
73111;1656931446;Сбор информации
73113;1656931504;Сбор информации
72947;1656931613;Артикул уже продан
60393;1656931670;Возврат
73111;1656931684;Проверка информации
73111;1656931684;Проверка информации
73113;1656931708;Ожидание
73117;1656931900;Сбор информации
73117;1656931907;Ожидание
73121;1656932053;Сбор информации
73123;1656932054;Сбор информации
73121;1656932242;Проверка информации
73121;1656932242;Проверка информации
73125;1656932277;Сбор информации
73127;1656932289;Сбор информации
73127;1656932329;Ожидание
73125;1656932361;Ожидание
73129;1656932384;Сбор информации
73129;1656932392;Ожидание
73123;1656932405;Проверка информации
73123;1656932405;Проверка информации
73135;1656932474;Сбор информации
73123;1656932516;Заведение заказа в 1С
73137;1656932521;Сбор информации
73121;1656932533;Заведение заказа в 1С
73137;1656932544;Уже купил
73111;1656932550;Заведение заказа в 1С
73123;1656932568;Проверка товара на складе
73139;1656932589;Сбор информации
73121;1656932602;Проверка товара на складе
73141;1656932664;Сбор информации
73139;1656932735;Ожидание
73111;1656932771;Проверка товара на складе
73147;1656932823;Сбор информации
73135;1656932830;Проверка информации
73135;1656932830;Проверка информации
73157;1656932960;Сбор информации
73135;1656933021;Заведение заказа в 1С
73071;1656933047;Не устраивает цена с бонусами
73135;1656933075;Проверка товара на складе
73147;1656933161;Проверка информации
73147;1656933161;Проверка информации
73157;1656933177;Проверка информации
73157;1656933177;Проверка информации
73141;1656933194;Ожидание
73147;1656933231;Заведение заказа в 1С
73157;1656933247;Заведение заказа в 1С
73147;1656933307;Проверка товара на складе
73157;1656933341;Проверка товара на складе
73183;1656933604;Сбор информации
73185;1656933666;Сбор информации
73185;1656933758;Проверка информации
73185;1656933758;Проверка информации
73185;1656933801;Заведение заказа в 1С
73189;1656933875;Сбор информации
73185;1656933878;Проверка товара на складе
73189;1656934065;Проверка информации
73189;1656934065;Проверка информации
73189;1656934094;Ожидание
73193;1656934120;Сбор информации
73189;1656934146;Проверка информации
73189;1656934146;Проверка информации
73195;1656934158;Сбор информации
73195;1656934170;Ожидание
73001;1656934282;Согласование нового товара
73199;1656934332;Сбор информации
73199;1656934345;Ожидание
73193;1656934462;Товар не устраивает
70329;1656934503;Сделка успешна
73201;1656934540;Сбор информации
73201;1656934552;Ожидание
73205;1656934742;Сбор информации
73205;1656934868;Нет в ассортименте
71769;1656935041;Сделка успешна
73211;1656935099;Сбор информации
67625;1656935172;Сделка успешна
73211;1656935222;Ожидание
66141;1656935547;Сделка успешна
73189;1656935563;Заведение заказа в 1С
73189;1656935596;Проверка товара на складе
72801;1656935610;Некачественный товар
73135;1656935653;Некачественный товар
73215;1656935741;Сбор информации
73219;1656935935;Сбор информации
73219;1656935950;Ожидание
73221;1656936023;Сбор информации
73223;1656936050;Сбор информации
64963;1656936103;Сделка успешна
73225;1656936122;Сбор информации
73223;1656936156;Нет в ассортименте
73225;1656936227;Проверка товара на складе
73227;1656936239;Сбор информации
73227;1656936276;Ожидание
73229;1656936277;Сбор информации
63439;1656936290;Сделка успешна
73233;1656936311;Сбор информации
73233;1656936329;Ожидание
73229;1656936334;Проверка товара на складе
73235;1656936423;Сбор информации
62037;1656936430;Сделка успешна
73237;1656936449;Сбор информации
73235;1656936458;Проверка товара на складе
73237;1656936460;Ожидание юр.лица
73237;1656936461;Ожидание
73239;1656936509;Сбор информации
73221;1656936593;Проверка информации
73221;1656936593;Проверка информации
73239;1656936661;Проверка информации
73239;1656936661;Проверка информации
73239;1656936737;Заведение заказа в 1С
73241;1656936737;Сбор информации
73221;1656936765;Заведение заказа в 1С
73239;1656936793;Проверка товара на складе
73243;1656936801;Сбор информации
50165;1656936866;Возврат
73221;1656936907;Проверка товара на складе
73245;1656936923;Сбор информации
73241;1656937039;Проверка информации
73241;1656937039;Проверка информации
53919;1656937079;Сделка успешна
73245;1656937101;Проверка информации
73245;1656937101;Проверка информации
56585;1656937328;Сделка успешна
73245;1656937459;Заведение заказа в 1С
73241;1656937476;Заведение заказа в 1С
73241;1656937544;Проверка товара на складе
73245;1656937547;Проверка товара на складе
73241;1656937549;Заведение заказа в 1С
73241;1656937614;Проверка товара на складе
73251;1656937659;Сбор информации
73251;1656937694;Доставка. Товар нужен сегодня
73065;1656937704;Проверка товара на складе
73253;1656937718;Сбор информации
73139;1656937865;Не устраивает цена с бонусами
73253;1656938136;Сделка успешна
73111;1656938140;Сделка успешна
54387;1656938161;Сбор информации
54387;1656938182;Проверка информации
54387;1656938182;Проверка информации
73065;1656938183;Формирование счета для юр.лица
73255;1656938473;Сбор информации
73255;1656938614;Проверка информации
73255;1656938614;Проверка информации
73259;1656938672;Сбор информации
73259;1656938698;Ожидание
62977;1656938809;Возврат
73255;1656938819;Заведение заказа в 1С
54387;1656938837;Заведение заказа в 1С
73263;1656938845;Сбор информации
54387;1656938966;Проверка товара на складе
73255;1656938987;Проверка товара на складе
73265;1656939054;Сбор информации
63467;1656939132;Возврат
73267;1656939133;Сбор информации
73267;1656939150;Ожидание
73263;1656939245;Доставка. Неудобный интервал
73269;1656939325;Сбор информации
73269;1656939347;Ожидание
73271;1656939372;Сбор информации
73265;1656939442;Ожидание
73273;1656939487;Сбор информации
73275;1656939488;Сбор информации
70173;1656939498;Сделка успешна
73273;1656939499;Ожидание
73211;1656939518;Проверка информации
73211;1656939518;Проверка информации
73211;1656939586;Заведение заказа в 1С
73211;1656939646;Проверка товара на складе
73189;1656939683;Сделка успешна
72503;1656939698;Сделка успешна
73277;1656939725;Сбор информации
71177;1656939750;Сделка успешна
73271;1656939768;Ожидание
73279;1656939811;Сбор информации
73277;1656939826;Нет в ассортименте
73279;1656939946;Проверка информации
73279;1656939946;Проверка информации
73283;1656940024;Сбор информации
73279;1656940045;Заведение заказа в 1С
73285;1656940079;Сбор информации
73279;1656940132;Проверка товара на складе
73285;1656940287;Проверка информации
73285;1656940287;Проверка информации
73287;1656940309;Сбор информации
73287;1656940316;Ожидание
73291;1656940318;Сбор информации
73285;1656940373;Заведение заказа в 1С
73291;1656940453;Доставка. Товар нужен сегодня
73283;1656940472;Проверка информации
73283;1656940472;Проверка информации
73283;1656940590;Заведение заказа в 1С
73285;1656940606;Проверка товара на складе
71485;1656940631;Возврат
73283;1656940648;Проверка товара на складе
73295;1656940649;Сбор информации
73295;1656940664;Ожидание
73299;1656940826;Сбор информации
73299;1656940870;Нет в ассортименте
73303;1656940964;Сбор информации
73303;1656941004;Ожидание
73243;1656941010;Ожидание
73305;1656941045;Сбор информации
73305;1656941140;Ожидание
73309;1656941162;Сбор информации
73309;1656941408;Проверка информации
73309;1656941408;Проверка информации
73309;1656941483;Заведение заказа в 1С
73313;1656941507;Сбор информации
73309;1656941536;Проверка товара на складе
73315;1656941690;Сбор информации
73315;1656941698;Ожидание
73313;1656941703;Проверка информации
73313;1656941703;Проверка информации
73317;1656941716;Сбор информации
73313;1656941730;Заведение заказа в 1С
73317;1656941738;Ожидание
73319;1656941749;Сбор информации
73313;1656941788;Проверка товара на складе
73265;1656941843;Проверка информации
73265;1656941843;Проверка информации
73319;1656941944;Проверка информации
73319;1656941944;Проверка информации
73319;1656941971;Заведение заказа в 1С
73265;1656941995;Заведение заказа в 1С
72529;1656942010;Ожидание
73319;1656942012;Проверка товара на складе
73265;1656942043;Проверка товара на складе
73211;1656942049;Некачественный товар
73321;1656942132;Сбор информации
73323;1656942134;Сбор информации
73321;1656942148;Ожидание
73325;1656942274;Сбор информации
73323;1656942295;Проверка информации
73323;1656942295;Проверка информации
73325;1656942395;Нет в ассортименте
73329;1656942521;Сбор информации
73331;1656942597;Сбор информации
73333;1656942597;Сбор информации
73331;1656942612;Доставка. Товар нужен сегодня
73333;1656942639;Проверка товара на складе
73329;1656942678;Проверка информации
73329;1656942678;Проверка информации
73335;1656942679;Сбор информации
73335;1656942791;Заведение заказа в 1С
73329;1656942803;Заведение заказа в 1С
73323;1656942828;Заведение заказа в 1С
73335;1656942869;Проверка товара на складе
72943;1656943021;Нет в ассортименте
72729;1656943094;Истекло время ожидания
72871;1656943178;Нет в ассортименте
73341;1656943219;Сбор информации
73341;1656943227;Ожидание
73329;1656943268;Проверка товара на складе
73323;1656943306;Проверка товара на складе
73321;1656943340;Сбор информации
73343;1656943541;Сбор информации
73343;1656943652;Нет в ассортименте
73345;1656943842;Сбор информации
73345;1656943851;Ожидание
72969;1656943885;Подумает и перезвонит
68881;1656943905;Сделка успешна
73321;1656943922;Проверка информации
73321;1656943922;Проверка информации
72927;1656943956;Уже купил
71871;1656944001;Заведение заказа в 1С
73347;1656944027;Сбор информации
73349;1656944045;Сбор информации
73351;1656944046;Сбор информации
73351;1656944055;Ожидание
73349;1656944059;Ожидание
73347;1656944067;Подумает и перезвонит
73321;1656944074;Заведение заказа в 1С
68643;1656944078;Сделка успешна
72669;1656944135;Истекло время ожидания
73321;1656944142;Проверка товара на складе
68607;1656944155;Сделка успешна
73009;1656944208;Истекло время ожидания
68555;1656944218;Сделка успешна
73355;1656944230;Сбор информации
72963;1656944240;Истекло время ожидания
68529;1656944262;Сделка успешна
72791;1656944312;Истекло время ожидания
72573;1656944405;Передумал или отложил
